# Instruction file for the x86-64 compiler



# Mnemonic			Opcode				Flags				Registers
		ADD			[ 00 ]				Lr					Eb, Gb
		ADD			[ 01 ]				Lr					Evqp, Gvqp
		ADD			[ 02 ]				r					Gb, Eb
		ADD			[ 03 ]				r					Gvqp, Evqp
		ADD			[ 04 ]				-					AL, Ib
		ADD			[ 05 ]				-					rAX, Ivds
# 06	[Invalid]
# 07	[Invalid]
		OR			[ 08 ]				Lr					Eb, Gb
		OR			[ 09 ]				Lr					Evqp, Gvqp
		OR			[ 0A ]				r					Gb, Eb
		OR			[ 0B ]				r					Gvqp, Evqp
		OR			[ 0C ]				-					AL, Ib
		OR			[ 0D ]				-					rAX, Ivds
# 0E	[Invalid]
# 0F	[Two byte opcodes]
		ADC			[ 10 ]				Lr					Eb, Gb
		ADC			[ 11 ]				Lr					Evqp, Gvqp
		ADC			[ 12 ]				r					Gb, Eb
		ADC			[ 13 ]				r					Gvqp, Evqp
		ADC			[ 14 ]				-					AL, Ib
		ADC			[ 15 ]				-					rAX, Ivds
# 16	[Invalid]
# 17	[Invalid]
		SBB			[ 18 ]				Lr					Eb, Gb
		SBB			[ 19 ]				Lr					Evqp, Gvqp
		SBB			[ 1A ]				r					Gb, Eb
		SBB			[ 1B ]				r					Gvqp, Evqp
		SBB			[ 1C ]				-					AL, Ib
		SBB			[ 1D ]				-					rAX, Ivds
# 1E	[Invalid]
# 1F	[Invalid]
		AND			[ 20 ]				Lr					Eb, Gb
		AND			[ 21 ]				Lr					Evqp, Gvqp
		AND			[ 22 ]				r					Gb, Eb
		AND			[ 23 ]				r					Gvqp, Evqp
		AND			[ 24 ]				-					AL, Ib
		AND			[ 25 ]				-					rAX, Ivds
# 26	[Invalid]
# 27	[Invalid]
		SUB			[ 28 ]				Lr					Eb, Gb
		SUB			[ 29 ]				Lr					Evqp, Gvqp
		SUB			[ 2A ]				r					Gb, Eb
		SUB			[ 2B ]				r					Gvqp, Evqp
		SUB			[ 2C ]				-					AL, Ib
		SUB			[ 2D ]				-					rAX, Ivds
# 2E	[Invalid]
# 2F	[Invalid]
		XOR			[ 30 ]				Lr					Eb, Gb
		XOR			[ 31 ]				Lr					Evqp, Gvqp
		XOR			[ 32 ]				r					Gb, Eb
		XOR			[ 33 ]				r					Gvqp, Evqp
		XOR			[ 34 ]				-					AL, Ib
		XOR			[ 35 ]				-					rAX, Ivds
# 36	[Invalid]
# 37	[Invalid]
		CMP			[ 38 ]				r					Eb, Gb
		CMP			[ 39 ]				r					Evqp, Gvqp
		CMP			[ 3A ]				r					Gb, Eb
		CMP			[ 3B ]				r					Gvqp, Evqp
		CMP			[ 3C ]				-					AL, Ib
		CMP			[ 3D ]				-					rAX, Ivds
# 3E	[Invalid]
# 3F	[Invalid]
		INC			[ 40 ]				-					Zv
		DEC			[ 48 ]				-					Zv
		PUSH		[ 50 ]				-					Zv
		PUSH		[ 50 ]				E					Zvq
		POP			[ 58 ]				-					Zv
		POP			[ 58 ]				E					Zvq
# 60	[Invalid]
# 61	[Invalid]
# 62	[Invalid]
# 63	....
# 64	[FS segment override prefix]
# 65	[GS segment override prefix]
# 66	[Operand size override prefix]
# 67	[Address size override prefix]
		
		PUSH		[ 68 ]				-					Ivs
		IMUL		[ 69 ]				r					Gvqp, Evqp, Ivds
		PUSH		[ 6A ]				-					Ibss
		IMUL		[ 6B ]				r					Gvqp, Evqp, Ibs
		INSB		[ 6C ]				-					Yb, DX
		INSW		[ 6D ]				-					Ywo, DX
		INTD		[ 6D ]				-					Ydo, DX
		OUTSB		[ 6E ]				-					DX, Xb
		OUTSW		[ 6F ]				-					DX, Xwo
		OUTSD		[ 6F ]				-					DX, Xdo
		JO			[ 70 ]				-					Jbs
		JNO			[ 71 ]				-					Jbs
		JC			[ 72 ]				-					Jbs
		JNC			[ 73 ]				-					Jbs
		JZ			[ 74 ]				-					Jbs
		JNZ			[ 75 ]				-					Jbs
		JNA			[ 76 ]				-					Jbs
		JA			[ 77 ]				-					Jbs
		JS			[ 78 ]				-					Jbs
		JNS			[ 79 ]				-					Jbs
		JP			[ 7A ]				-					Jbs
		JNP			[ 7B ]				-					Jbs
		JL			[ 7C ]				-					Jbs
		JNL			[ 7D ]				-					Jbs
		JNG			[ 7E ]				-					Jbs
		JG			[ 7F ]				-					Jbs
		ADD			[ 80 ]				Le0					Eb, Ib
		OR			[ 80 ]				Le1					Eb, Ib
		ADC			[ 80 ]				Le2					Eb, Ib
		SBB			[ 80 ]				Le3					Eb, Ib
		AND			[ 80 ]				Le4					Eb, Ib
		SUB			[ 80 ]				Le5					Eb, Ib
		XOR			[ 80 ]				Le6					Eb, Ib
		CMP			[ 80 ]				e7					Eb, Ib
		ADD			[ 81 ]				Le0					Evqp, Ivds
		OR			[ 81 ]				Le1					Evqp, Ivds
		ADC			[ 81 ]				Le2					Evqp, Ivds
		SBB			[ 81 ]				Le3					Evqp, Ivds
